queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,BEL1,Royal Charleroi SC,172,Triston Rowe,984593,2006-10-02,280015,78113,1193182,458761,DOB_NAME,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,CZE1,FK Pardubice,1496,Ales Mandous,240536,1992-04-21,11317,263286,786434,790538,DOB_NAME,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,CZE1,SK Slavia Prag,62,David Jurásek,500054,2000-08-07,199892,267594,3145824,786441,DOB_NAME,https://www.transfermarkt.de/sk-slavia-prag/kader/verein/62/saison_id/2026/plus/1,ab5b3ad613592069fe87ed798140f18d5a2969fea81a54ddd36b6738aad74f72,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,CZE1,SK Artis Brünn,24325,Emmanuel Fully,1174744,2006-03-20,295816,0,786441,790564,DOB_NAME,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,CZE1,FC Banik Ostrau,377,Filip Sancl,1045167,2005-06-23,11574,0,790538,786446,DOB_NAME,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,ENG1,Sunderland,289,Jocelin Ta Bi,1322090,2005-02-09,114549,0,1703940,917524,DOB_NAME,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509,2026-09-12
TYPED_CONDITION,YES,"Existing future, retirement, ban, or other condition requires a preserving typed plan",ENG1,Tottenham Hotspur,148,Mykhaylo Mudryk,537860,2001-01-05,23316,246340,917513,917514,DOB_NAME,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390,2026-09-12
TYPED_CONDITION,YES,"Existing future, retirement, ban, or other condition requires a preserving typed plan",ENG1,Hull City,3008,Paddy McNair,167268,1995-04-27,301431,213697,6239520,917532,DOB_NAME,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,2026-09-12
TYPED_CONDITION,YES,Existing native loan condition requires verified current owner and return chronology,ENG1,Aston Villa,405,Tammy Abraham,331726,1997-10-02,199880,231352,3145824,917506,DOB_NAME,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
TYPED_CONDITION,YES,"Existing future, retirement, ban, or other condition requires a preserving typed plan",ESP1,Racing Santander,630,Jeanuël Belocian,919515,2005-02-17,277070,268622,1376261,2949137,DOB_NAME,https://www.transfermarkt.de/racing-santander/kader/verein/630/saison_id/2026/plus/1,18a40c3ef461fb12859ab644f10535935a6e0f3b45aa680347aab5a3a4eda60f,2026-09-12
